STATE/UT,Confirmed,Recovered,Death
Andaman and Nicobar Islands,5.0,5.0,0.0
Andhra Pradesh,4944.0,1346.0,62.0
Arunachal Pradesh,118.0,21.0,0.0
Assam,2773.0,938.0,7.0
Bihar,1109.0,1206.0,11.0
Chandigarh,14.0,0.0,0.0
Chhattisgarh,133.0,170.0,1.0
Dadra and Nagar Haveli,28.0,10.0,0.0
Daman and Diu,0.0,0.0,0.0
Delhi,1349.0,1200.0,27.0
Goa,174.0,88.0,3.0
Gujarat,1026.0,745.0,34.0
Haryana,604.0,726.0,9.0
Himachal Pradesh,33.0,10.0,1.0
Jammu and Kashmir,608.0,181.0,9.0
Jharkhand,596.0,224.0,12.0
Karnataka,3649.0,1664.0,61.0
Kerala,720.0,274.0,1.0
Ladakh,3.0,3.0,0.0
Lakshadweep,0.0,0.0,0.0
Madhya Pradesh,785.0,573.0,18.0
Maharashtra,8336.0,7188.0,246.0
Manipur,90.0,64.0,0.0
Meghalaya,21.0,18.0,0.0
Mizoram,33.0,0.0,0.0
Nagaland,9.0,1.0,0.0
Odisha,647.0,400.0,8.0
Puducherry,87.0,53.0,1.0
Punjab,379.0,271.0,1.0
Rajasthan,983.0,549.0,9.0
Sikkim,47.0,18.0,0.0
Tamil Nadu,4965.0,4894.0,75.0
Telangana,1430.0,2062.0,7.0
Tripura,456.0,167.0,1.0
Uttar Pradesh,2128.0,1024.0,37.0
Uttarakhand,207.0,85.0,0.0
West Bengal,2261.0,1617.0,35.0
Unassigned State,0.0,0.0,0.0
Total,40750.0,27795.0,676.0
