detectedcity,dateannounced,gender,count
Udaipur,06/04/2020,Unknown,1
Unknown,30/04/2020,Unknown,1
Unknown,10/05/2020,Unknown,1
Unknown,23/05/2020,Unknown,1
Unknown,26/05/2020,Unknown,1
Unknown,27/05/2020,Unknown,1
Unknown,30/05/2020,Unknown,2
Unknown,31/05/2020,Unknown,1
Unknown,01/06/2020,Unknown,1
Unknown,02/06/2020,Unknown,1
Unknown,03/06/2020,Unknown,1
Unknown,04/06/2020,Unknown,1
Unknown,05/06/2020,Unknown,1
Unknown,06/06/2020,Unknown,1
Unknown,07/06/2020,Unknown,2
Unknown,10/06/2020,Unknown,2
Unknown,11/06/2020,Unknown,2
Unknown,12/06/2020,Unknown,1
Unknown,13/06/2020,Unknown,2
Unknown,15/06/2020,Unknown,1
Unknown,16/06/2020,Unknown,1
Unknown,17/06/2020,Unknown,1
Unknown,18/06/2020,Unknown,2
Unknown,19/06/2020,Unknown,2
Unknown,20/06/2020,Unknown,2
Unknown,21/06/2020,Unknown,2
Unknown,23/06/2020,Unknown,2
Unknown,25/06/2020,Unknown,1
Unknown,26/06/2020,Unknown,2
Unknown,27/06/2020,Unknown,1
Unknown,28/06/2020,Unknown,2
Unknown,29/06/2020,Unknown,1
Unknown,01/07/2020,Unknown,2
Unknown,02/07/2020,Unknown,2
Unknown,03/07/2020,Unknown,1
Unknown,04/07/2020,Unknown,1
Unknown,05/07/2020,Unknown,2
Unknown,06/07/2020,Unknown,3
Unknown,07/07/2020,Unknown,2
Unknown,08/07/2020,Unknown,2
Unknown,09/07/2020,Unknown,3
Unknown,10/07/2020,Unknown,2
Unknown,11/07/2020,Unknown,1
Unknown,12/07/2020,Unknown,2
Unknown,13/07/2020,Unknown,2
Unknown,14/07/2020,Unknown,2
Unknown,15/07/2020,Unknown,2
Unknown,16/07/2020,Unknown,1
Unknown,17/07/2020,Unknown,1
